City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
187,hopkinsville,36.8656,-87.4886,37.44,68,35,5.77,US,1668726813
188,byron bay,-28.65,153.6167,68.94,56,1,5.99,AU,1668726544
189,campbell river,50.0163,-125.2446,41.59,45,1,0.92,CA,1668726814
190,bonfim,3.0833,-59.95,85.14,59,99,3.65,BR,1668726814
191,eureka,40.8021,-124.1637,55.2,87,10,4.0,US,1668726715
192,tuktoyaktuk,69.4541,-133.0374,19.02,77,66,8.01,CA,1668726815
193,rajshahi,24.3667,88.6,64.99,59,2,7.52,BD,1668726815
194,bubaque,11.2833,-15.8333,83.17,75,100,11.01,GW,1668726816
195,rocha,-34.4833,-54.3333,63.25,85,87,2.51,UY,1668726626
196,ilulissat,69.2167,-51.1,19.42,79,75,5.75,GL,1668726816
197,beipiao,41.7919,120.7792,35.73,62,97,2.91,CN,1668726817
198,coihaique,-45.5752,-72.0662,57.81,82,75,5.75,CL,1668726817
199,atasu,48.6814,71.6433,12.56,94,93,4.99,KZ,1668726818
200,tsiroanomandidy,-18.7667,46.0333,67.44,88,79,0.63,MG,1668726818
201,grand gaube,-20.0064,57.6608,68.38,64,23,3.0,MU,1668726818
202,geraldton,-28.7667,114.6,59.41,82,75,19.57,AU,1668726819
203,grindavik,63.8424,-22.4338,43.27,87,75,6.91,IS,1668726819
204,cidreira,-30.1811,-50.2056,67.3,80,95,7.74,BR,1668726677
205,ferme-neuve,46.7001,-75.4493,22.17,75,100,8.32,CA,1668726820
206,hualmay,-11.0964,-77.6139,66.56,77,62,10.8,PE,1668726820
207,lundazi,-12.2929,33.1782,67.46,64,23,5.82,ZM,1668726821
208,nome,64.5011,-165.4064,35.11,98,100,12.35,US,1668726821
209,tuatapere,-46.1333,167.6833,54.77,94,100,3.6,NZ,1668726822
210,guerande,47.3291,-2.4283,49.46,69,14,22.19,FR,1668726822
211,port elizabeth,-33.918,25.5701,63.1,77,100,0.83,ZA,1668726822
212,flin flon,54.7682,-101.865,9.48,81,99,9.08,CA,1668726823
213,santa rosa,14.3122,121.1114,82.02,77,100,8.99,PH,1668726823
214,baykit,61.67,96.37,-26.1,100,54,2.15,RU,1668726824
215,ahipara,-35.1667,173.1667,66.87,80,73,11.79,NZ,1668726824
216,afareaitu,-17.55,-149.7833,84.22,70,75,13.8,PF,1668726825
217,nishihara,26.1842,127.7558,76.28,94,75,8.05,JP,1668726825
218,boksitogorsk,59.474,33.8485,25.61,87,58,7.09,RU,1668726826
